created_time,from_id,from_name,message,post_name
2017-07-14T14:43:54+0000,33661642d99eeceeb086,4ca212f16b9f954d5e0a,We are speaking to NRA supporters as well as Women's March supporters,33661642d99eeceeb086_10154890879532217
2017-07-14T14:41:59+0000,33661642d99eeceeb086,4ca212f16b9f954d5e0a,If you are just joining us we are outside of the headquarters of the National Rifle Association outside of Washington DC. The Women's March are demonstrating and then marching to the Department of Justice to protest a controversial commercial and the verdict of Philando Castile's death,33661642d99eeceeb086_10154890879532217
2017-07-14T14:41:58+0000,142b054b9d7f119260fa,210f51cc65568bf2d528,Do you know how backward America are in allowing people to have guns? 19 kids per day die in the USA by accidental shootings.... Constitutional rights! Get a grip.,142b054b9d7f119260fa_10154890879532217
2017-07-14T14:42:25+0000,52228acb5d5ca468be8c,46377b3cde64b2bf93dc,People who legally own guns often seem all too eager for an opportunity to shoot someone. Statistics show that guns bought 'for protection' very rarely get used as intended. Ask any ER doctor.,52228acb5d5ca468be8c_10154890879532217
2017-07-14T14:40:46+0000,af7fe02906a110370810,087accbb0dc7c975d194,Have you snowflakes watched the news and seen how many lives could have been saved had they had a gun to protect themselves?,af7fe02906a110370810_10154890879532217
2017-07-14T14:41:06+0000,9a90817f183ebc174742,343de400829f2349a781,I don't understand why America wants to carry guns around and keep them in the family in the UK were not allowed to have guns why should America allowed to have gums,9a90817f183ebc174742_10154890879532217
2017-07-14T14:41:02+0000,5969e4a86e559f513d79,47a72b309aaa49128213,It is my right to legally protect my life as best l can. And NO ONE is allowed to take this away. The NRA has nothing to do with evil and crazy people getting access to guns illegally.,5969e4a86e559f513d79_10154890879532217
2017-07-14T14:34:05+0000,858bf285623eeccb82f2,0d861bf581d55a4aa9fd,"I'm a gun owner, but the NRA are just terrorists. Plain and simple.",858bf285623eeccb82f2_10154890879532217
2017-07-14T14:42:47+0000,858bf285623eeccb82f2,0d861bf581d55a4aa9fd,"2nd amendment makes you think you are free from tyranny, but Americans are too lazy and unprepared to do anything, plus if you think you are going to stand up to the govt with a 9mm, you are an idiot.",858bf285623eeccb82f2_10154890879532217
2017-07-14T14:47:11+0000,334ea0160501ea43df96,627bcf1efdcd30981075,It should be a legal requirement that everyone should be armed against terrorists I believe this is the case in Switzerland but I am willing to be put right.  Only the law abiding are unarmed.  Fact.,334ea0160501ea43df96_10154890879532217
2017-07-14T14:37:10+0000,6a2d3a1ebffa2bcd3230,1039f2adfca620f3df23,The board of directors of the NRA is more diverse than all of the people who organise this women's march XD let the sink in.,6a2d3a1ebffa2bcd3230_10154890879532217
2017-07-14T14:45:02+0000,dacc31dcbf08109f9a27,ef74be048971c46c49f9,"Hey Bob Boschen, how about all of those homegrown terrorists? Your view is awfully limited which is why your opinion is biased and racist",dacc31dcbf08109f9a27_10154890879532217
2017-07-14T14:56:47+0000,25dafe01f99181923fe8,7170b49d0b8fa1d52302,"@bryan hull and oddly enough, I'm not a big fan of guns and the ad didn't phase me... it was an effective marketing tool...",25dafe01f99181923fe8_10154890879532217
2017-07-14T14:38:52+0000,db63a120c10956eda605,0bbfd51add3d5a2e0b8e,Australia announces a new gun amnesty to surrender illegal or unwanted guns....... and we all live in peace..... no mass shooting since 1996...... you can keep your 2nd Amendment and shove it as far up your dark orifice where it best fits,db63a120c10956eda605_10154890879532217
2017-07-14T14:36:01+0000,f00a173de7a5ab54c63b,e9082b5234b44d4b6209,"These people are just silly. It's not the inanimate objects that are the problem...it's raising kids with no respect for life. Let's get these women involved in solving THAT, starting in their own homes.",f00a173de7a5ab54c63b_10154890879532217
2017-07-14T14:46:37+0000,0369f9ec2b765cbf7e86,eea4c9c0e0c3a7185d18,"It is well to make use of their right to be armed, but many of these weapons come to countries like mine, mexico to control the drug traffic that are going to the United States",0369f9ec2b765cbf7e86_10154890879532217
2017-07-14T14:46:33+0000,3cefbf8ef4ada3c3bfb7,01721d21386f2e994b2b,"Laura has a good point, but all of that training, etc, we would both like to encourage... shouldn't be a barrier to entry (a ""poll tax,"" if you will) before someone can exercise their Second Amendment rights.",3cefbf8ef4ada3c3bfb7_10154890879532217
2017-07-14T14:36:54+0000,ae02138e0e9029b5bbfb,f777fb385dcd3a63a7d1,I live in england and we are a safe country who has good gun laws ... people's rights are not compromised!,ae02138e0e9029b5bbfb_10154890879532217
2017-07-14T14:39:18+0000,e94265a76622f2c2315d,d548da02e158e1375da0,Only corrupt governments fear an armed population. However sensible gun control is not a bad thing. Gun control never stopped a stabbing.,e94265a76622f2c2315d_10154890879532217
2017-07-14T14:37:04+0000,76a86d534d746194b2fa,514133eb3dcc579771ba,Philando Castile was murdered by a cop. I don't understand why this is being used to try to revoke citizens' right to bear arms.,76a86d534d746194b2fa_10154890879532217
2017-07-14T14:40:17+0000,e45f3330572ea14a1e40,15fbb591d87368a5bb9b,£145 for this! Regressive tax paid by the poor when you should get your guardian upper middle class cronies to pay for it pal!,e45f3330572ea14a1e40_10154890879532217
2017-07-14T14:36:02+0000,e356f002ab3b3b9c94bf,c65975b5e6ebf60c1a9b,"I believe there's an issue with the audio... Maybe, somebody should comment on it. Seeing as none of the comments have mentioned it so far... 😉😂",e356f002ab3b3b9c94bf_10154890879532217
2017-07-14T14:39:43+0000,36b0771d629c76981dd9,16c8c69c160b6a7f1547,NRA is nothing but a money making panic machine. No one wants your guns. We just want real gun laws.,36b0771d629c76981dd9_10154890879532217
2017-07-14T14:43:07+0000,e0bb75b9c28b86b6f51c,a8c63bce944694c89f44,A mentally ill person should not own a gun. Case in point Burke county Pennsylvania,e0bb75b9c28b86b6f51c_10154890879532217
2017-07-14T14:39:05+0000,f00a173de7a5ab54c63b,e9082b5234b44d4b6209,"Just silly. Yes, let's get rid of guns, bullets, knives, forks, bats, acid instead of taking a tough stand on people who misuse inanimate objects.",f00a173de7a5ab54c63b_10154890879532217
2017-07-14T14:40:04+0000,f8ca6a1d561288e69777,77d4a830f147f63e7e95,"Stephen Warren Goff, YOU ARE A VILE PIG!  Who lies about their children being killed you disgusting excuse of a human being.  Turn off infowars, get out of the gutter you f'n low life son of a biotch!  How dare you! 😠",f8ca6a1d561288e69777_10154890879532217
2017-07-14T14:41:22+0000,e338630eede277b0a880,0a98c419f822271e7526,The NRA does nothing for gun owners or our 2nd Amendment rights.  It's just a corrupt club to make money.,e338630eede277b0a880_10154890879532217
2017-07-14T14:39:38+0000,789eadd77aa657d814b7,965fb702ac6462df8f1b,"""for God so loved the world, that he gave his only begotten son, that whosoever believeth in him should not perish, but have everlasting life."" John 3:16",789eadd77aa657d814b7_10154890879532217
2017-07-14T14:44:26+0000,9ecf39d7492dac8b6b07,2127cd9cd41dde5d0eba,Americans think they are either Jesse James or the Lone Ranger. Get a grips folks. We don't carry guns in the UK & have little fun violence. More US citizens killed by children than terrorists! Mass gun ownership is madness!,9ecf39d7492dac8b6b07_10154890879532217
2017-07-14T14:37:56+0000,b7803527cec2fa19d43d,e26f0039d76fe405fa54,"Sensible gun-owners need to withdraw from NRA membership. The NRA isn't protecting anything but a constant cash flow to manufacturers of guns and ammo. Their divisive ""they"" video is bad for America. We can't be united when the NRA blatantly promotes an ""us and them"" mentality.",b7803527cec2fa19d43d_10154890879532217
2017-07-14T14:46:36+0000,52228acb5d5ca468be8c,46377b3cde64b2bf93dc,Guns in the home 'for protection' usually end up in tragic accidental shootings.,52228acb5d5ca468be8c_10154890879532217
2017-07-14T14:38:40+0000,da970700ec9d7495dd64,bea10218849c45914849,USA has way too many gun deaths.  Something needs to be done.,da970700ec9d7495dd64_10154890879532217
2017-07-14T14:43:52+0000,4825e435d0c6b4e4797b,587d9d8c7fa4234b97b4,London population 8 million had 100 murders last year .. check out US cities murders in comparison.,4825e435d0c6b4e4797b_10154890879532217
2017-07-14T14:37:44+0000,6cb2be87687587ca3af0,1c42edba0e5dbbcc3077,We need stronger gun laws! The NRA has turned into a terrorist organization,6cb2be87687587ca3af0_10154890879532217
2017-07-14T14:37:35+0000,0b55248dd575fc5bc5c0,68faa7842494daa82f71,You can be a gun owner and not support the NRA. I am and I refuse to believe the two have to,0b55248dd575fc5bc5c0_10154890879532217
2017-07-14T14:42:57+0000,f4f20a57ac3fbceb6c6f,1496bc2f8a04f1673a8b,"The NRA has turned into an alt-right political pac. When they support people on a terrorist watch lies buying guns, that did it for me.",f4f20a57ac3fbceb6c6f_10154890879532217
2017-07-14T14:36:25+0000,37e6c8cfe0d136fd9bb0,054d7996413191932eb6,Q - How many NRA members does it take to change a lightbulb? A- More guns,37e6c8cfe0d136fd9bb0_10154890879532217
2017-07-14T14:41:40+0000,f2f48b602a476cea0c5a,dc02272f841ba42c3539,Criminals don't obey laws. Should we do away with laws?,f2f48b602a476cea0c5a_10154890879532217
2017-07-14T14:41:37+0000,d74f9ff5ef6dd6111b91,3ccac09459959cbc5e0d,Castillo was a LEGAL gun owner and he got shot and the NRA should have come out with the same outrage!,d74f9ff5ef6dd6111b91_10154890879532217
2017-07-14T14:33:11+0000,c531d031bc08827b9738,5e45394b5d0ca0e9dc01,Is this the one Organized by Terrorist sympathizer Linda Sarsour ?,c531d031bc08827b9738_10154890879532217
2017-07-14T14:34:12+0000,4f4efe0c5418ed8f0f0f,6f3ea0c68e15ab2bc084,All these facebook live video feeds seem to suffer from lack of audio with uncanny consistency.,4f4efe0c5418ed8f0f0f_10154890879532217
2017-07-14T14:46:49+0000,cab9c8ce02a06d4eff65,be119ed0a1def5cc928a,any non-whites in the midst ? many other countries don't need/use guns the way these people do.... wonder why ?,cab9c8ce02a06d4eff65_10154890879532217
2017-07-14T14:40:59+0000,0a1fad877107c1294d07,c7d6a28262fa549c3556,A private citizen has no requirement to own a firearm in a civilised society!,0a1fad877107c1294d07_10154890879532217
2017-07-14T14:44:39+0000,e16e780ce7269caf1a85,2aebace33d9dc471d2a2,Gun deaths have decreased over the past 20 years without legislation.,e16e780ce7269caf1a85_10154890879532217
2017-07-14T14:44:28+0000,58dedafe403653efeee3,309e22b2f20f52baf42c,Guns may save lives but it can also take lives of  innocent ones if handed to bad people,58dedafe403653efeee3_10154890879532217
2017-07-14T14:35:06+0000,da4229866f7d89e8db4b,558d0eec6a0200fdcd98,"I'm all for the second amendment, grew up with guns etc, but that commercial just stepped way over the line.",da4229866f7d89e8db4b_10154890879532217
2017-07-14T14:47:23+0000,d74f9ff5ef6dd6111b91,3ccac09459959cbc5e0d,It is your right. Absolutely. But try protesting something worth it.,d74f9ff5ef6dd6111b91_10154890879532217
2017-07-14T14:39:22+0000,6e1c7d8dc50ad79577f7,c73ea4747986f6d4eec7,Forget them own a gun to protect your home and self when you feel endangered.,6e1c7d8dc50ad79577f7_10154890879532217
2017-07-14T14:40:48+0000,b0d0a550f2382b6a5685,3ac38d4eb3f38118116b,Not enough terrorists to worry about in your own country? Solve your own country's issues.,b0d0a550f2382b6a5685_10154890879532217
2017-07-14T14:41:59+0000,967dffb0bf3f19f959ed,f8e8bf651f45a179ca6d,take    away  the  guns    from  a  good   guy   and  make  it  easy  for a  bad  guy    ...,967dffb0bf3f19f959ed_10154890879532217
2017-07-14T14:58:24+0000,81e6d34a4b41c69d641d,2d5815214425d3ef4aae,"Every American should have at least 5 guns ... that way maybe they will kill each other and won't terrorize the world anymore??? The ""free"" country have the most murders (and prisoners) in the world already ... so just give 'em all guns!! To kids too!",81e6d34a4b41c69d641d_10154890879532217
2017-07-14T14:39:49+0000,f2f48b602a476cea0c5a,dc02272f841ba42c3539,"We should just kill all the people without guns.  Problem solved.  Plus, what are they gonna do about it?",f2f48b602a476cea0c5a_10154890879532217
2017-07-14T14:38:23+0000,6e1c7d8dc50ad79577f7,c73ea4747986f6d4eec7,Sane people should be allowed to bear arms and Insane unbalanced folks no.,6e1c7d8dc50ad79577f7_10154890879532217
2017-07-14T14:37:52+0000,0f08fcadf86ed36a148a,07ecd7a712c77af9c464,Robin because he was lawfully carrying and the NRA did not defend him!!,0f08fcadf86ed36a148a_10154890879532217
2017-07-14T14:34:05+0000,eedddfd1eb0e83477dc8,cd6847738c3015c5890f,If this is representative of today's women's movement....sad,eedddfd1eb0e83477dc8_10154890879532217
2017-07-14T14:34:51+0000,853cd9caa62c0e15c493,0906cffdd4b2dc3b3a42,Bring yer guns tae Chicago and clean up the gang warfare....,853cd9caa62c0e15c493_10154890879532217
2017-07-14T14:42:48+0000,4825e435d0c6b4e4797b,587d9d8c7fa4234b97b4,Right to guns but no right to health care .. very odd country.,4825e435d0c6b4e4797b_10154890879532217
2017-07-14T14:44:39+0000,0a1fad877107c1294d07,c7d6a28262fa549c3556,Guns MUST be controlled - anyone who thinks otherwise is a gun nut!,0a1fad877107c1294d07_10154890879532217
2017-07-14T14:43:42+0000,0b55248dd575fc5bc5c0,68faa7842494daa82f71,The NRA is a PAC that supports the gun manufacturers. Follow the money you'll learn what the NRA is about.,0b55248dd575fc5bc5c0_10154890879532217
2017-07-14T14:40:39+0000,0b55248dd575fc5bc5c0,68faa7842494daa82f71,"This is Wonderful!! You can be pro gun, pro 2nd Amendment without supporting the NRA.",0b55248dd575fc5bc5c0_10154890879532217
2017-07-14T14:46:16+0000,0e3a58622ae39c69734b,4d11964a92cf19b5950c,So let's start doing background checks to get a driver's licence,0e3a58622ae39c69734b_10154890879532217
2017-07-14T14:44:47+0000,ee284dc02ee135029b0d,446a53cbb34cbdf31fb9,"British are known as polite and civilized and peaceful, so i think that there is no need to carry guns around!",ee284dc02ee135029b0d_10154890879532217
2017-07-14T14:39:22+0000,62e42230f05731fec2ac,17a2cbe82e31e902c1ad,"If you read the second amendment you will find there is no such thing as a ""reasons gun law"".",62e42230f05731fec2ac_10154890879532217
2017-07-14T14:42:43+0000,799e3a368ac677eaae10,624bbc3a64c32343d6d8,Yay women's march! Thank you for being there! Wish I could be there!,799e3a368ac677eaae10_10154890879532217
2017-07-14T14:35:56+0000,c3ed66eabdcd270daa70,bf668b4c6fdeb044c07a,"Looks like they're talking about the USA in general.
""Something went wrong""  Yup in 1776 it did.",c3ed66eabdcd270daa70_10154890879532217
2017-07-14T14:46:16+0000,0e38736f2af6fd26b50e,a518ee6882280f84d88c,"But we need more information on voters, not gun owners, right?",0e38736f2af6fd26b50e_10154890879532217
2017-07-14T14:37:42+0000,58dedafe403653efeee3,309e22b2f20f52baf42c,"After all everyone is a human,why people don't think like that",58dedafe403653efeee3_10154890879532217
2017-07-14T14:47:27+0000,78d8a47c06eb9710da6b,3da9fbfe956c81d56849,So make it harder for honest Americans to get guns while thw gangs in Chicago buy them freely on the black market,78d8a47c06eb9710da6b_10154890879532217
